Campus,Region,Estado
Aguascalientes,Occidente,Aguascalientes
Chiapas,Desarrollo Regional,Chiapas
Chihuahua,Occidente,Chihuahua
Ciudad de México,Ciudad de Mexico,Ciudad de México
Ciudad Juárez,Desarrollo Regional,Chihuahua
Ciudad Obregón,Desarrollo Regional,Sonora
Cuernavaca,Centro Sur,Morelos
Estado de México,Ciudad de Mexico,México
Guadalajara,Occidente,Jalisco
Hidalgo​​​​​​,Centro Sur,Hidalgo
Irapuato,Desarrollo Regional,Guanajuato
Laguna,Norte,Coahuila
León,Occidente,Guanajuato
Monterrey,Norte,Nuevo León
Morelia,Occidente,Michoacán
Puebla,Centro Sur,Puebla
Querétaro,Centro Sur,Querétaro
Saltillo,Norte,Coahuila
San Luis Potosí,Centro Sur,San Luis Potosí
Santa Fe,Ciudad de Mexico,Ciudad de México
Sinaloa,Occidente,Sinaloa
Sonora Norte,Occidente,Sonora
Tampico,Centro Sur,Tamaulipas
Toluca,Centro Sur,México
Zacatecas,Desarrollo Regional,Zacatecas
Cumbres,Desarrollo Regional,Nuevo León
Central de Veracruz,Desarrollo Regional,Veracruz
Ciudad Matamoros,Desarrollo Regional,Tamaulipas
Eugenio Garza Sada,Desarrollo Regional,Nuevo León
Eugenio Garza Lagüera,Desarrollo Regional,Nuevo León
Santa Catarina,Desarrollo Regional,Nuevo León
Valle Alto,Desarrollo Regional,Nuevo León
Universidad Virtual,Norte,Nuevo León
EGADE Monterrey,Norte,Nuevo León
EGADE Santa Fe,Ciudad de Mexico,Ciudad de México
EGADE Ciudad de Mexico,Ciudad de Mexico,Ciudad de México
EGAP Monterrey,Norte,Nuevo León
EGAP Santa Fe,Ciudad de Mexico,Ciudad de México